name;@lat;@lon
Avenida do Tranvia;42.2278097;-8.6515067
Rúa da Becerreira;42.2153927;-8.6556686
Autoestrada do Atlántico;43.4572828;-8.1664616
Autoestrada do Atlántico;43.4596676;-8.1630800
Avenida das Pías;43.4750879;-8.1679016
Avenida do Mar;43.4849273;-8.1981987
Rúa Ricardo Carvalho Calero;43.4859676;-8.2261035
Avenida do Rei;43.4865588;-8.2308504
Túnel Avenida de Vigo - Avenida do Rei;43.4860828;-8.2292431
Avenida de Vigo;43.4855762;-8.2275383
Rúa Ricardo Carvalho Calero;43.4849330;-8.2253694
Rúa Sol;43.4842088;-8.2356960
Rúa Carme;43.4849534;-8.2312796
Praza de Galicia;43.4826288;-8.2336931
Praza de Galicia;43.4826635;-8.2335102
Avenida de Esteiro;43.4823973;-8.2291605
Travesía do Inferniño;43.4892852;-8.2218682
Rúa Cabalo Branco;43.4938619;-8.2190886
Rúa Cabalo Branco;43.4967757;-8.2178537
Avenida Antonio Palacios;42.2191028;-8.7221213
Avenida Martínez Garrido;42.2241810;-8.7085266
Rúa da Bagunda;42.2257073;-8.6978622
Rúa Severino Covas;42.2249259;-8.6971445
Camiño da Bouciña;42.2249494;-8.6816109
Autovía del Atlántico;42.2234028;-8.7096237
Avenida de Madrid;42.2237671;-8.7099971
Autovía del Atlántico;42.2234478;-8.7095604
Avenida de Madrid;42.2237212;-8.7100607
Autovía del Atlántico;42.2240345;-8.7105032
Avenida de Madrid;42.2244985;-8.7111891
Autovía del Atlántico;42.2240811;-8.7104393
Estrada de Cesantes;42.3091289;-8.6101960
Avenida Santa Mariña;42.2860516;-8.6101259
Avenida Santa Mariña;42.2846390;-8.6106068
Rúa do Loureiro;42.2291757;-8.6429454
Camiño da Chamuscada;42.2343350;-8.6355464
Camiño da Mancoña;42.2373934;-8.6430584
Camiño do Coto;42.2354237;-8.6498273
Rúa Rabadeira;42.2383236;-8.6513769
Rúa Parada;42.2319589;-8.6619868
Rúa Figueiras;42.2330527;-8.6500172
Rúa Sanguiño;42.2339019;-8.6509129
Rúa Rinxela;42.2339602;-8.6478323
Rúa Rinxela;42.2334447;-8.6457069
Rúa Amaro;42.2304617;-8.6519207
Avenida do Aeroporto;42.2327947;-8.7020973
Rúa García Barbón;42.2372797;-8.7119610
Rúa Alfonso XIII;42.2369436;-8.7175655
Rúa de Alfonso XIII;42.2355158;-8.7157493
Rúa Padre Ramón María Aller;42.2355297;-8.7150916
Autoestrada do Atlántico;43.3289652;-8.2018151
Avenida Alcalde Alfonso Molina;43.3556024;-8.4062206
Avenida Alcalde Alfonso Molina;43.3319189;-8.3999693
